Model,MAE_mean,MAE_ci95_low,MAE_ci95_high,MSE_mean,MSE_ci95_low,MSE_ci95_high,R2_mean,R2_ci95_low,R2_ci95_high,Inference_ms_mean,Inference_ms_ci95_low,Inference_ms_ci95_high,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,Risk_PR_AUC_mean,Risk_PR_AUC_ci95_low,Risk_PR_AUC_ci95_high,Risk_ROC_AUC_mean,Risk_ROC_AUC_ci95_low,Risk_ROC_AUC_ci95_high,Risk_Brier_mean,Risk_Brier_ci95_low,Risk_Brier_ci95_high,Risk_ECE_mean,Risk_ECE_ci95_low,Risk_ECE_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high
Union-Find detection oracle,0.30449074074074073,0.2820579484928192,0.3269235329886623,0.5254166666666666,0.4746247852676735,0.5762085480656598,0.37759929602106185,0.19634683538415015,0.5588517566579736,0.20964177777757328,0.18948052133296373,0.22980303422218284,0.7244219882135879,0.6326010411966484,0.8162429352305275,0.7379599212018929,0.6401962555255273,0.8357235868782585,0.7311252087425317,0.6363808319791757,0.8258695855058877,0.9134501297320802,0.9051459104652522,0.9217543489989082,0.8731018518518519,0.8507949427712606,0.8954087609324431,0.6718464205303553,0.5243945767591696,0.819298264301541,0.8257050254669865,0.7729799968687081,0.878430054065265,0.12689814814814815,0.10459123906755684,0.14920505722873945,0.12689814814814815,0.10459123906755685,0.14920505722873945,473.3333333333333,401.26204886826747,545.4046177983992,39.444444444444436,33.43850407235561,45.45038481653326
Kinetic-TopoGuard,0.30901742911244007,0.29419072399008567,0.32384413423479447,0.4041239723342025,0.3090977902650524,0.4991501544033526,0.49793166847883236,0.2045905050657552,0.7912728318919096,5.254257009258893,4.910833630345093,5.5976803881726935,0.38551404515301885,0.32811148052130257,0.4429166097847351,0.9967871233742249,0.9936250745127989,0.9999491722356509,0.5547390745571527,0.4959419932441531,0.6135361558701522,0.4932368917181402,0.4552675598109568,0.5312062236253237,0.6157407407407408,0.5852387566702588,0.6462427248112228,0.8699841605765029,0.7869449555607835,0.9530233655922222,0.951425463938302,0.9338950469985278,0.9689558808780762,0.0901719374269387,0.06862613732406034,0.11171773752981706,0.13565470652610814,0.10325709640068301,0.16805231665153328,2761.3333333333335,2538.3742993283295,2984.2923673383375,230.11111111111111,211.53119161069412,248.6910306115281
Shallow ML,0.3497971121573927,0.3468828820061282,0.35271134230865714,0.3726271923803666,0.3218273209611433,0.42342706379958994,0.5593507166448852,0.42731953578168125,0.6913818975080892,0.02772245370309705,0.025311953146695036,0.030132954259499065,0.28727432488031795,0.2762893345915537,0.2982593151690822,0.9721992605551417,0.9275659379641348,1.0,0.44325090820800656,0.4328648921624905,0.4536369242535226,0.2141763842062886,0.0,0.45503328657489484,0.4048611111111111,0.2667249403340307,0.5429972818881915,0.24852296169923127,0.2164694879017277,0.28057643549673483,0.5931878223807153,0.49362143971771827,0.6927542050437123,0.5951388888888889,0.4570027181118085,0.7332750596659693,0.595138888888889,0.4570027181118085,0.7332750596659695,4243.333333333333,3185.9644487691785,5300.702217897488,353.6111111111111,265.4970373974315,441.7251848247907
GraphSAGE,0.4059769665367073,0.37454307800936004,0.4374108550640545,0.45609145567053616,0.39582969954034875,0.5163532118007236,0.464139952153564,0.33309086564930723,0.5951890386578208,0.059254427052716586,0.04868241296675951,0.06982644113867367,0.32379312567064383,0.26399275844081366,0.383593492900474,0.9922822570843671,0.9856966512929178,0.9988678628758164,0.4866667159484732,0.4200122862414558,0.5533211456554906,0.3369722796712818,0.28832796449944864,0.38561659484311495,0.49587962962962956,0.447676477536202,0.5440827817230571,0.2945830796576922,0.1974685401662763,0.3916976191491081,0.6646272683778245,0.6435235897404393,0.6857309470152096,0.5041203703703704,0.4559172182769428,0.552323522463798,0.5041203703703704,0.45591721827694276,0.552323522463798,3616.3333333333335,3259.6594046845216,3973.0072619821453,301.36111111111114,271.6382837237102,331.0839384985121
STGCN (w=5),0.4192774413732174,0.3024559954181959,0.5360988873282388,0.4899385636924842,0.34600784141748453,0.6338692859674838,0.4330756643223719,0.36526777459907267,0.5008835540456711,0.2263791666716012,0.07760138304066735,0.37515695030253504,0.3440254266498491,0.2879372629453584,0.4001135903543398,0.9804290157746927,0.9538336173493636,1.0,0.5079920165621484,0.4459918577182188,0.569992175406078,0.4030237312885539,0.2584730112689932,0.5475744513081147,0.543745275888133,0.44430415069351065,0.6431864010827555,0.5950484084507421,0.33745462726171166,0.8526421896397727,0.6917263735316234,0.6308975532660708,0.752555193797176,0.4562547241118669,0.3568135989172445,0.5556958493064893,0.456254724111867,0.35681359891724457,0.5556958493064894,3190.0,2461.0143672197646,3918.9856327802354,271.25850340136054,209.26992918535413,333.2470776173669
T-GCN (w=5),0.4239775950704347,0.38480652953960026,0.46314866060126914,0.47464747664972534,0.40243107205713197,0.5468638812423188,0.4345616148426461,0.28593906102883626,0.583184168656456,0.18445624994001264,0.15211661899309048,0.2167958808869348,0.28736136113565547,0.24112548907337178,0.33359723319793916,0.9957275169198178,0.988766079314344,1.0,0.4449252502654906,0.3887902601269792,0.501060240404002,0.20736856609738194,0.0,0.4181130398531542,0.3996598639455782,0.25376225906081284,0.5455574688303435,0.569367627567422,0.3174223702507097,0.8213128848841342,0.6015480415085998,0.49956492598603036,0.7035311570311692,0.6003401360544217,0.4544425311696564,0.746237740939187,0.6003401360544217,0.4544425311696564,0.746237740939187,4229.666666666667,3191.2918312414026,5268.041502091932,359.6655328798186,271.36835299671793,447.9627127629193
GAT,0.43442989914505564,0.3577386557693065,0.5111211425208048,0.5412583133522801,0.4033165123132094,0.6792001143913509,0.37238420358225505,0.22674343906154537,0.5180249681029647,0.12299557291347203,0.08158189487540438,0.1644092509515397,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,0.2765634181960465,0.18549876525173886,0.3676280711403542,0.6265572614065608,0.5049620734968879,0.7481524493162336,0.555,0.36848426703901005,0.74151573296099,0.555,0.36848426703901005,0.74151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
TGN (w=5),0.4406875454154054,0.33691794000850434,0.5444571508223065,0.5865263598249623,0.4277406529229567,0.7453120667269678,0.3072130664895061,0.10762523344601305,0.5068008995329991,0.19928671872548875,0.14007348874418377,0.2584999487067937,0.3357813249310035,0.23700761889035366,0.4345550309716533,0.9743475966386871,0.9293305808282027,1.0,0.49418378272845537,0.38243106356734796,0.6059365018895628,0.3353183295873818,0.0,0.6910766538602546,0.49211073318216175,0.23007855484741363,0.7541429115169098,0.5880363749932048,0.3638950954695961,0.8121776545168136,0.6548329631130344,0.49523320120509823,0.8144327250209706,0.5078892668178382,0.24585708848309012,0.7699214451525862,0.5078892668178382,0.24585708848309012,0.7699214451525862,3546.3333333333335,1647.8154635084416,5444.851203158225,301.5589569160998,140.12036254323485,462.9975512889648
FANET-TopoGNN (concat),0.4447695642847706,0.39916125195025165,0.49037787661928955,0.4816936503065455,0.411586876595283,0.5518004240178079,0.4269253235245684,0.22871842542987866,0.6251322216192582,0.10518489580135792,0.08811540090190903,0.12225439070080682,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,0.3310776324210383,0.2239243900170758,0.4382308748250009,0.7032946239577745,0.6775296458280704,0.7290596020874787,0.4340740740740741,0.3801062139986104,0.48804193414953784,0.4340740740740741,0.3801062139986104,0.48804193414953784,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
PI+MLP,0.4497987799456826,0.42895696032922764,0.4706405995621376,0.584483032369813,0.4306565757257925,0.7383094890138335,0.32691578084160705,0.20931181166572888,0.4445197500174852,0.03731197917507719,0.01999523844933642,0.05462871990081796,0.2656474748523203,0.18840769746689062,0.34288725223775,0.9914933951556425,0.9813112034504864,1.0,0.41576197087206274,0.3215810639189731,0.5099428778251524,0.10826396092584843,0.0,0.23812988518644623,0.31907407407407407,0.18233852619105398,0.4558096219570942,0.23088650739947,0.12926874794243035,0.3325042668565097,0.5498786780407454,0.4900355874910242,0.6097217685904666,0.6809259259259259,0.5441903780429058,0.817661473808946,0.6809259259259259,0.5441903780429058,0.817661473808946,4886.0,3880.3417182097423,5891.658281790258,407.1666666666667,323.3618098508119,490.9715234825215
